PAN_Inside:,PAN_Outside:,Ambient_Temp:,Glass_Temp:,Ind_Current:,Mag_Current:,empty_pan,Induction_Power:
100.92,94.93,33257.75,32,191,0.36,0,
100.65,95.09,32304.24,32,191,0.35,0,
100.16,94.6,33715.92,32,191,0.35,0,
101.07,95.64,33005.04,32,191,0.39,0,
100.77,95.13,32105.87,32,191,0.36,0,
101.18,95.84,32254.57,32,191,0.37,0,
101.14,95.8,32503.44,32,191,0.35,0,
101.14,94.89,33105.97,32,191,0.36,0,
101.18,95.09,33207.11,33,191,0.36,0,
101.22,95.76,32603.34,33,191,0.36,0,
101.07,95.64,33308.46,33,191,0.38,0,
101.14,95.57,33207.11,33,191,0.36,0,
101.1,95.57,33257.75,33,191,0.37,0,
101.18,95.61,33308.46,33,191,0.37,0,
100.99,95.8,33613.74,33,191,0.36,0,
101.22,95.76,32803.77,33,191,0.35,0,
101.29,95.8,32503.44,33,191,0.37,0,
100.77,95.64,33715.92,33,191,0.36,0,
101.33,96.24,32753.59,33,191,0.35,0,
101.37,95.64,33613.74,33,191,0.37,0,
101.07,96.12,33664.8,33,191,0.37,0,
100.73,95.72,33818.3,33,191,0.38,0,
100.8,96.04,33869.58,33,191,0.39,0,
101.22,96.2,32904.3,33,191,0.37,0,
101.07,96.16,33005.04,33,191,0.35,0,
101.33,95.64,34075.19,33,191,0.35,0,
101.14,95.72,33818.3,33,191,0.38,0,
101.37,96.2,33207.11,33,191,0.36,0,
101.07,96.2,34023.71,33,191,0.38,0,
101.37,95.96,37865.01,33,191,0.39,0,
101.29,96.08,33613.74,33,191,0.38,0,
101.14,96.12,33664.8,34,191,0.36,0,
101.22,96.08,33869.58,34,191,0.35,0,
101.1,96.36,33869.58,34,191,0.36,0,
101.44,95.88,33715.92,34,191,0.37,0,
101.33,96.12,33869.58,34,191,0.36,0,
101.4,95.8,33972.28,34,191,0.36,0,
101.29,95.96,32803.77,34,191,0.36,0,
100.99,96.2,33972.28,34,191,0.37,0,
100.99,96.44,36123.79,34,191,0.37,0,
101.03,96.44,34075.19,34,191,0.38,0,
101.37,95.76,33920.91,34,191,0.38,0,
101.59,95.8,34023.71,34,191,0.37,0,
101.14,96.28,34853.64,34,191,0.36,0,
101.67,96.36,32854.01,34,191,0.39,0,
101.1,96.52,34126.72,34,191,0.36,0,
101.22,96.4,33920.91,34,191,0.35,0,
101.29,96.44,33308.46,34,191,0.37,0,
